"","orig.ident","sample_id","MajorCellTypes","case"
"BN0009_Astrocytes_PD","BN0009_Astrocytes_PD","BN0009","Astrocytes","PD"
"BN0009_Endothelial-Cells_PD","BN0009_Endothelial-Cells_PD","BN0009","Endothelial_Cells","PD"
"BN0009_Fibroblast-Like-Cells_PD","BN0009_Fibroblast-Like-Cells_PD","BN0009","Fibroblast_Like_Cells","PD"
"BN0009_GABA-Neurons_PD","BN0009_GABA-Neurons_PD","BN0009","GABA_Neurons","PD"
"BN0009_GLU-Neurons_PD","BN0009_GLU-Neurons_PD","BN0009","GLU_Neurons","PD"
"BN0009_Microglia_PD","BN0009_Microglia_PD","BN0009","Microglia","PD"
"BN0009_Oligodendrocytes_PD","BN0009_Oligodendrocytes_PD","BN0009","Oligodendrocytes","PD"
"BN0009_OPCs_PD","BN0009_OPCs_PD","BN0009","OPCs","PD"
"BN0009_Pericytes_PD","BN0009_Pericytes_PD","BN0009","Pericytes","PD"
"BN0009_T-Cells_PD","BN0009_T-Cells_PD","BN0009","T_Cells","PD"
"BN0329_Astrocytes_PD","BN0329_Astrocytes_PD","BN0329","Astrocytes","PD"
"BN0329_Endothelial-Cells_PD","BN0329_Endothelial-Cells_PD","BN0329","Endothelial_Cells","PD"
"BN0329_Fibroblast-Like-Cells_PD","BN0329_Fibroblast-Like-Cells_PD","BN0329","Fibroblast_Like_Cells","PD"
"BN0329_GABA-Neurons_PD","BN0329_GABA-Neurons_PD","BN0329","GABA_Neurons","PD"
"BN0329_GLU-Neurons_PD","BN0329_GLU-Neurons_PD","BN0329","GLU_Neurons","PD"
"BN0329_Microglia_PD","BN0329_Microglia_PD","BN0329","Microglia","PD"
"BN0329_Oligodendrocytes_PD","BN0329_Oligodendrocytes_PD","BN0329","Oligodendrocytes","PD"
"BN0329_OPCs_PD","BN0329_OPCs_PD","BN0329","OPCs","PD"
"BN0329_Pericytes_PD","BN0329_Pericytes_PD","BN0329","Pericytes","PD"
"BN0329_T-Cells_PD","BN0329_T-Cells_PD","BN0329","T_Cells","PD"
"BN0339_Astrocytes_HC","BN0339_Astrocytes_HC","BN0339","Astrocytes","HC"
"BN0339_Endothelial-Cells_HC","BN0339_Endothelial-Cells_HC","BN0339","Endothelial_Cells","HC"
"BN0339_Fibroblast-Like-Cells_HC","BN0339_Fibroblast-Like-Cells_HC","BN0339","Fibroblast_Like_Cells","HC"
"BN0339_GABA-Neurons_HC","BN0339_GABA-Neurons_HC","BN0339","GABA_Neurons","HC"
"BN0339_GLU-Neurons_HC","BN0339_GLU-Neurons_HC","BN0339","GLU_Neurons","HC"
"BN0339_Microglia_HC","BN0339_Microglia_HC","BN0339","Microglia","HC"
"BN0339_Oligodendrocytes_HC","BN0339_Oligodendrocytes_HC","BN0339","Oligodendrocytes","HC"
"BN0339_OPCs_HC","BN0339_OPCs_HC","BN0339","OPCs","HC"
"BN0339_Pericytes_HC","BN0339_Pericytes_HC","BN0339","Pericytes","HC"
"BN0341_Astrocytes_HC","BN0341_Astrocytes_HC","BN0341","Astrocytes","HC"
"BN0341_Endothelial-Cells_HC","BN0341_Endothelial-Cells_HC","BN0341","Endothelial_Cells","HC"
"BN0341_Fibroblast-Like-Cells_HC","BN0341_Fibroblast-Like-Cells_HC","BN0341","Fibroblast_Like_Cells","HC"
"BN0341_GABA-Neurons_HC","BN0341_GABA-Neurons_HC","BN0341","GABA_Neurons","HC"
"BN0341_GLU-Neurons_HC","BN0341_GLU-Neurons_HC","BN0341","GLU_Neurons","HC"
"BN0341_Microglia_HC","BN0341_Microglia_HC","BN0341","Microglia","HC"
